,Time_Period,RIFLGFCM01_N.B,RIFLGFCM03_N.B,RIFLGFCM06_N.B,RIFLGFCY01_N.B,RIFLGFCY02_N.B,RIFLGFCY03_N.B,RIFLGFCY05_N.B,RIFLGFCY07_N.B,RIFLGFCY10_N.B,RIFLGFCY20_N.B,RIFLGFCY30_N.B,Time_Period_YM,MARGIN_RIFLGFCM01_N.B,MARGIN_RIFLGFCM03_N.B,MARGIN_RIFLGFCM06_N.B,MARGIN_RIFLGFCY01_N.B,MARGIN_RIFLGFCY02_N.B,MARGIN_RIFLGFCY03_N.B,MARGIN_RIFLGFCY05_N.B,MARGIN_RIFLGFCY07_N.B,MARGIN_RIFLGFCY10_N.B,MARGIN_RIFLGFCY20_N.B,MARGIN_RIFLGFCY30_N.B
296,1986-09-30,,5.34,5.61,5.82,6.38,6.68,6.98,7.31,7.45,7.55,7.6,1986-09-01,,0.03000000000000025,0.23000000000000043,0.3000000000000007,0.4399999999999995,0.5499999999999998,0.5800000000000001,0.5599999999999996,0.5,0.4299999999999997,0.3899999999999997
297,1986-10-31,,5.34,5.5,5.73,6.26,6.51,6.76,7.1,7.34,7.54,7.61,1986-10-01,,0.0,-0.11000000000000032,-0.08999999999999986,-0.1200000000000001,-0.16999999999999993,-0.22000000000000064,-0.20999999999999996,-0.11000000000000032,-0.009999999999999787,0.010000000000000675
298,1986-11-28,,5.54,5.65,5.76,6.21,6.38,6.65,7.0,7.15,7.3,7.41,1986-11-01,,0.20000000000000018,0.15000000000000036,0.02999999999999936,-0.04999999999999982,-0.1299999999999999,-0.10999999999999943,-0.09999999999999964,-0.1899999999999995,-0.2400000000000002,-0.20000000000000018
299,1986-12-31,,5.83,5.87,5.95,6.35,6.56,6.81,7.09,7.23,7.39,7.49,1986-12-01,,0.29000000000000004,0.21999999999999975,0.1900000000000004,0.13999999999999968,0.17999999999999972,0.15999999999999925,0.08999999999999986,0.08000000000000007,0.08999999999999986,0.08000000000000007
300,1987-01-30,,5.76,5.83,5.93,6.33,6.51,6.71,6.99,7.18,,7.48,1987-01-01,,-0.07000000000000028,-0.040000000000000036,-0.020000000000000462,-0.019999999999999574,-0.04999999999999982,-0.09999999999999964,-0.09999999999999964,-0.05000000000000071,,-0.009999999999999787
301,1987-02-27,,5.6,5.68,5.9,6.35,6.51,6.71,7.0,7.19,,7.48,1987-02-01,,-0.16000000000000014,-0.15000000000000036,-0.02999999999999936,0.019999999999999574,0.0,0.0,0.009999999999999787,0.010000000000000675,,0.0
302,1987-03-31,,5.79,6.01,6.15,6.54,6.79,7.02,7.29,7.51,,7.81,1987-03-01,,0.1900000000000004,0.33000000000000007,0.25,0.1900000000000004,0.28000000000000025,0.3099999999999996,0.29000000000000004,0.3199999999999994,,0.3299999999999992
303,1987-04-30,,5.7,6.25,6.62,7.38,7.63,7.82,8.07,8.21,,8.45,1987-04-01,,-0.08999999999999986,0.2400000000000002,0.46999999999999975,0.8399999999999999,0.8399999999999999,0.8000000000000007,0.7800000000000002,0.7000000000000011,,0.6399999999999997
304,1987-05-29,,5.87,6.47,6.88,7.69,7.94,8.15,8.35,8.49,,8.65,1987-05-01,,0.16999999999999993,0.21999999999999975,0.2599999999999998,0.3100000000000005,0.3100000000000005,0.33000000000000007,0.27999999999999936,0.27999999999999936,,0.20000000000000107
305,1987-06-30,,5.91,6.19,6.77,7.48,7.76,8.02,8.24,8.38,,8.51,1987-06-01,,0.040000000000000036,-0.27999999999999936,-0.11000000000000032,-0.20999999999999996,-0.1800000000000006,-0.13000000000000078,-0.10999999999999943,-0.10999999999999943,,-0.14000000000000057
