,Date,Beta0,Beta1,Beta2,Tau,Curve
115,1994-08-01,0.07597483479305367,-0.03190262189996755,-0.0038075602950250163,1.0,"NelsonSiegelCurve(beta0=0.07597483479305367, beta1=-0.03190262189996755, beta2=-0.0038075602950250163, tau=1.0)"
116,1994-09-01,0.07953029279326901,-0.0347280647041988,0.004805930446008218,1.0,"NelsonSiegelCurve(beta0=0.07953029279326901, beta1=-0.0347280647041988, beta2=0.004805930446008218, tau=1.0)"
117,1994-10-01,0.08111563711206654,-0.032214559561722145,0.0027552848316938962,1.0,"NelsonSiegelCurve(beta0=0.08111563711206654, beta1=-0.032214559561722145, beta2=0.0027552848316938962, tau=1.0)"
118,1994-11-01,0.08027594748662785,-0.027924366565079947,0.018244528884574552,0.9418538131140508,"NelsonSiegelCurve(beta0=0.08027594748662785, beta1=-0.027924366565079947, beta2=0.018244528884574552, tau=0.9418538131140508)"
119,1994-12-01,0.07956479183905871,-0.0374143463271963,0.02179640334081281,0.3812572328366983,"NelsonSiegelCurve(beta0=0.07956479183905871, beta1=-0.0374143463271963, beta2=0.02179640334081281, tau=0.3812572328366983)"
120,1995-01-01,0.07733881982727567,-0.020445287109576462,0.0129060345834625,1.0,"NelsonSiegelCurve(beta0=0.07733881982727567, beta1=-0.020445287109576462, beta2=0.0129060345834625, tau=1.0)"
121,1995-02-01,0.07503830858878417,-0.016742589933984888,-0.0019515889880877694,1.0,"NelsonSiegelCurve(beta0=0.07503830858878417, beta1=-0.016742589933984888, beta2=-0.0019515889880877694, tau=1.0)"
122,1995-03-01,0.07464888883935489,-0.017460419514716136,0.0015188138617334025,1.0,"NelsonSiegelCurve(beta0=0.07464888883935489, beta1=-0.017460419514716136, beta2=0.0015188138617334025, tau=1.0)"
123,1995-04-01,0.07363955339105889,-0.015522367988303098,-0.005125122707607311,1.0,"NelsonSiegelCurve(beta0=0.07363955339105889, beta1=-0.015522367988303098, beta2=-0.005125122707607311, tau=1.0)"
124,1995-05-01,0.06736114611636274,-0.007895870691191773,-0.017830276962695155,1.2428604091011037,"NelsonSiegelCurve(beta0=0.06736114611636274, beta1=-0.007895870691191773, beta2=-0.017830276962695155, tau=1.2428604091011037)"
125,1995-06-01,0.06663831586315533,-0.009809080769936087,-0.016084066846829552,1.2189487419245122,"NelsonSiegelCurve(beta0=0.06663831586315533, beta1=-0.009809080769936087, beta2=-0.016084066846829552, tau=1.2189487419245122)"
126,1995-07-01,0.06932353160770699,-0.012668976110257541,-0.017119270791125737,1.2111014768248702,"NelsonSiegelCurve(beta0=0.06932353160770699, beta1=-0.012668976110257541, beta2=-0.017119270791125737, tau=1.2111014768248702)"
127,1995-08-01,0.0666678852035034,-0.011546851720952048,-0.01334172851148097,1.0,"NelsonSiegelCurve(beta0=0.0666678852035034, beta1=-0.011546851720952048, beta2=-0.01334172851148097, tau=1.0)"
